Occupation 2010 Description,Level 0,Level 1,Level 2,Level 3,Level 4,Level 5
"Management, Business, Science, and Arts Occupations",0010-3540,,,,,
"Management, Business, and Financial Occupations",0010-3540,0010-0950,,,,
Management Occupations:,0010-3540,0010-0950,0010-0430,,,
Top executives,0010-3540,0010-0950,0010-0430,0010-0030,,
Chief executives,0010-3540,0010-0950,0010-0430,0010-0030,0010,0010
General and operations managers,0010-3540,0010-0950,0010-0430,0010-0030,0020,0020
Legislators,0010-3540,0010-0950,0010-0430,0010-0030,0030,0030
"Advertising, marketing, promotions, public relations, and sales managers",0010-3540,0010-0950,0010-0430,0040-0060,,
Advertising and promotions managers,0010-3540,0010-0950,0010-0430,0040-0060,0040,0040
Marketing and sales managers,0010-3540,0010-0950,0010-0430,0040-0060,0050,0050
Public relations and fundraising managers,0010-3540,0010-0950,0010-0430,0040-0060,0060,0060
Operations specialties managers except financial managers and human resources managers,0010-3540,0010-0950,0010-0430,"0100-0110, 0135, 0137-0160",,
Administrative services managers,0010-3540,0010-0950,0010-0430,"0100-0110, 0135, 0137-0160",0100,0100
Computer and information systems managers,0010-3540,0010-0950,0010-0430,"0100-0110, 0135, 0137-0160",0110,0110
Financial managers,0010-3540,0010-0950,0010-0430,0120,0120,0120
Compensation and benefits managers,0010-3540,0010-0950,0010-0430,"0100-0110, 0135, 0137-0160",0135,0135
Human resources managers,0010-3540,0010-0950,0010-0430,0136,0136,0136
Training and development managers,0010-3540,0010-0950,0010-0430,"0100-0110, 0135, 0137-0160",0137,0137
Industrial production managers,0010-3540,0010-0950,0010-0430,"0100-0110, 0135, 0137-0160",0140,0140
Purchasing managers,0010-3540,0010-0950,0010-0430,"0100-0110, 0135, 0137-0160",0150,0150
"Transportation, storage, and distribution managers",0010-3540,0010-0950,0010-0430,"0100-0110, 0135, 0137-0160",0160,0160
"Farmers, ranchers, and other agricultural managers",0010-3540,0010-0950,0010-0430,0205,0205,0205
"Other management occupations except farmers, ranchers, and other agricultural managers",0010-3540,0010-0950,0010-0430,0220-0430,,
Construction managers,0010-3540,0010-0950,0010-0430,0220-0430,0220,0220
Education administrators,0010-3540,0010-0950,0010-0430,0220-0430,0230,0230
Architectural and engineering managers,0010-3540,0010-0950,0010-0430,0220-0430,0300,0300
Food service managers,0010-3540,0010-0950,0010-0430,0220-0430,0310,0310
Funeral service managers,0010-3540,0010-0950,0010-0430,0220-0430,0325,0325
Gaming managers,0010-3540,0010-0950,0010-0430,0220-0430,0330,0330
Lodging managers,0010-3540,0010-0950,0010-0430,0220-0430,0340,0340
Medical and health services managers,0010-3540,0010-0950,0010-0430,0220-0430,0350,0350
Natural sciences managers,0010-3540,0010-0950,0010-0430,0220-0430,0360,0360
Postmasters and mail superintendents,0010-3540,0010-0950,0010-0430,0220-0430,0400,0400
"Property, real estate, and community association managers",0010-3540,0010-0950,0010-0430,0220-0430,0410,0410
Social and community service managers,0010-3540,0010-0950,0010-0430,0220-0430,0420,0420
Emergency management directors,0010-3540,0010-0950,0010-0430,0220-0430,0425,0425
"Managers, all other",0010-3540,0010-0950,0010-0430,0220-0430,0430,0430
Business and Financial Operations Occupations:,0010-3540,0010-0950,0500-0950,,,
Other business operations specialists,0010-3540,0010-0950,0500-0950,"0500- 0600, 0640-0740",,
"Agents and business managers of artists, performers, and athletes",0010-3540,0010-0950,0500-0950,"0500- 0600, 0640-0740",0500,0500
"Buyers and purchasing agents, farm products",0010-3540,0010-0950,0500-0950,"0500- 0600, 0640-0740",0510,0510
"Wholesale and retail buyers, except farm products",0010-3540,0010-0950,0500-0950,"0500- 0600, 0640-0740",0520,0520
"Purchasing agents, except wholesale, retail, and farm products",0010-3540,0010-0950,0500-0950,"0500- 0600, 0640-0740",0530,0530
"Claims adjusters, appraisers, examiners, and investigators",0010-3540,0010-0950,0500-0950,"0500- 0600, 0640-0740",0540,0540
Compliance officers,0010-3540,0010-0950,0500-0950,"0500- 0600, 0640-0740",0565,0565
Cost estimators,0010-3540,0010-0950,0500-0950,"0500- 0600, 0640-0740",0600,0600
Human resources workers,0010-3540,0010-0950,0500-0950,0630,0630,0630
"Compensation, benefits, and job analysis specialists",0010-3540,0010-0950,0500-0950,"0500- 0600, 0640-0740",0640,0640
Training and development specialists,0010-3540,0010-0950,0500-0950,"0500- 0600, 0640-0740",0650,0650
Logisticians,0010-3540,0010-0950,0500-0950,"0500- 0600, 0640-0740",0700,0700
Management analysts,0010-3540,0010-0950,0500-0950,"0500- 0600, 0640-0740",0710,0710
"Meeting, convention, and event planners",0010-3540,0010-0950,0500-0950,"0500- 0600, 0640-0740",0725,0725
Fundraisers,0010-3540,0010-0950,0500-0950,"0500- 0600, 0640-0740",0726,0726
Market research analysts and marketing specialists,0010-3540,0010-0950,0500-0950,"0500- 0600, 0640-0740",0735,0735
"Business operations specialists, all other",0010-3540,0010-0950,0500-0950,"0500- 0600, 0640-0740",0740,0740
Financial specialists:,0010-3540,0010-0950,0500-0950,0800-0950,,
Accountants and auditors,0010-3540,0010-0950,0500-0950,0800-0950,0800,0800
Other financial specialists,0010-3540,0010-0950,0500-0950,0800-0950,0810-0950,
Appraisers and assessors of real estate,0010-3540,0010-0950,0500-0950,0800-0950,0810-0950,0810
Budget analysts,0010-3540,0010-0950,0500-0950,0800-0950,0810-0950,0820
Credit analysts,0010-3540,0010-0950,0500-0950,0800-0950,0810-0950,0830
Financial analysts,0010-3540,0010-0950,0500-0950,0800-0950,0810-0950,0840
Personal financial advisors,0010-3540,0010-0950,0500-0950,0800-0950,0810-0950,0850
Insurance underwriters,0010-3540,0010-0950,0500-0950,0800-0950,0810-0950,0860
Financial examiners,0010-3540,0010-0950,0500-0950,0800-0950,0810-0950,0900
Credit counselors and loan officers,0010-3540,0010-0950,0500-0950,0800-0950,0810-0950,0910
"Tax examiners and collectors, and revenue agents",0010-3540,0010-0950,0500-0950,0800-0950,0810-0950,0930
Tax preparers,0010-3540,0010-0950,0500-0950,0800-0950,0810-0950,0940
"Financial specialists, all other",0010-3540,0010-0950,0500-0950,0800-0950,0810-0950,0950
"Computer, Engineering, and Science Occupations:",0010-3540,1000-1965,,,,
Computer and mathematical occupations:,0010-3540,1000-1965,1000-1240,,,
Computer occupations:,0010-3540,1000-1965,1000-1240,1000-1107,,
Computer and information research scientists and analysts,0010-3540,1000-1965,1000-1240,1000-1107,1005-1007,
Computer and information research scientists,0010-3540,1000-1965,1000-1240,1000-1107,1005-1007,1005
Computer systems analysts,0010-3540,1000-1965,1000-1240,1000-1107,1005-1007,1006
Information security analysts,0010-3540,1000-1965,1000-1240,1000-1107,1005-1007,1007
Software developers and programmers,0010-3540,1000-1965,1000-1240,1000-1107,1010-1030,
Computer programmers,0010-3540,1000-1965,1000-1240,1000-1107,1010-1030,1010
"Software developers, applications and systems software",0010-3540,1000-1965,1000-1240,1000-1107,1010-1030,1020
Web developers,0010-3540,1000-1965,1000-1240,1000-1107,1010-1030,1030
Computer support specialists,0010-3540,1000-1965,1000-1240,1000-1107,"1050,1107",1050
Database and systems administrators and network architects,0010-3540,1000-1965,1000-1240,1000-1107,1060-1106,
Database administrators,0010-3540,1000-1965,1000-1240,1000-1107,1060-1106,1060
Network and computer systems administrators,0010-3540,1000-1965,1000-1240,1000-1107,1060-1106,1105
Computer network architects,0010-3540,1000-1965,1000-1240,1000-1107,1060-1106,1106
"Miscellaneous computer occupations, including computer support specialists",0010-3540,1000-1965,1000-1240,1000-1107,"1050,1107",
"Computer occupations, all other",0010-3540,1000-1965,1000-1240,1000-1107,"1050,1107",1107
Mathematical science occupations,0010-3540,1000-1965,1000-1240,1200-1240,,
Actuaries,0010-3540,1000-1965,1000-1240,1200-1240,1200,1200
Mathematicians,0010-3540,1000-1965,1000-1240,1200-1240,1210,1210
Operations research analysts,0010-3540,1000-1965,1000-1240,1200-1240,1220,1220
Statisticians,0010-3540,1000-1965,1000-1240,1200-1240,1230,1230
Miscellaneous mathematical science occupations,0010-3540,1000-1965,1000-1240,1200-1240,1240,1240
Architecture and Engineering Occupations:,0010-3540,1000-1965,1300-1560,,,
"Architects, surveyors, and cartographers",0010-3540,1000-1965,1300-1560,1300-1310,,
"Architects, except naval",0010-3540,1000-1965,1300-1560,1300-1310,1300,1300
"Surveyors, cartographers, and photogrammetrists",0010-3540,1000-1965,1300-1560,1300-1310,1310,1310
Engineers,0010-3540,1000-1965,1300-1560,1320-1530,,
Aerospace engineers,0010-3540,1000-1965,1300-1560,1320-1530,1320,1320
Agricultural engineers,0010-3540,1000-1965,1300-1560,1320-1530,1330,1330
Biomedical engineers,0010-3540,1000-1965,1300-1560,1320-1530,1340,1340
Chemical engineers,0010-3540,1000-1965,1300-1560,1320-1530,1350,1350
Civil engineers,0010-3540,1000-1965,1300-1560,1320-1530,1360,1360
Computer hardware engineers,0010-3540,1000-1965,1300-1560,1320-1530,1400,1400
Electrical and electronics engineers,0010-3540,1000-1965,1300-1560,1320-1530,1410,1410
Environmental engineers,0010-3540,1000-1965,1300-1560,1320-1530,1420,1420
"Industrial engineers, including health and safety",0010-3540,1000-1965,1300-1560,1320-1530,1430,1430
Marine engineers and naval architects,0010-3540,1000-1965,1300-1560,1320-1530,1440,1440
Materials engineers,0010-3540,1000-1965,1300-1560,1320-1530,1450,1450
Mechanical engineers,0010-3540,1000-1965,1300-1560,1320-1530,1460,1460
"Mining and geological engineers, including mining safety engineers",0010-3540,1000-1965,1300-1560,1320-1530,1500,1500
Nuclear engineers,0010-3540,1000-1965,1300-1560,1320-1530,1510,1510
Petroleum engineers,0010-3540,1000-1965,1300-1560,1320-1530,1520,1520
"Engineers, all other",0010-3540,1000-1965,1300-1560,1320-1530,1530,1530
"Drafters, engineering, and mapping technicians",0010-3540,1000-1965,1300-1560,1540-1560,,
Drafters,0010-3540,1000-1965,1300-1560,1540-1560,1540,1540
"Engineering technicians, except drafters",0010-3540,1000-1965,1300-1560,1540-1560,1550,1550
Surveying and mapping technicians,0010-3540,1000-1965,1300-1560,1540-1560,1560,1560
"Life, Physical, and Social Science Occupations:",0010-3540,1000-1965,1600-1965,,,
Life and physical scientists,0010-3540,1000-1965,1600-1965,1600-1760,,
Agricultural and food scientists,0010-3540,1000-1965,1600-1965,1600-1760,1600,1600
Biological scientists,0010-3540,1000-1965,1600-1965,1600-1760,1610,1610
Conservation scientists and foresters,0010-3540,1000-1965,1600-1965,1600-1760,1640,1640
Medical scientists,0010-3540,1000-1965,1600-1965,1600-1760,1650,1650
"Life scientists, all other",0010-3540,1000-1965,1600-1965,1600-1760,1660,1660
Astronomers and physicists,0010-3540,1000-1965,1600-1965,1600-1760,1700,1700
Atmospheric and space scientists,0010-3540,1000-1965,1600-1965,1600-1760,1710,1710
Chemists and materials scientists,0010-3540,1000-1965,1600-1965,1600-1760,1720,1720
Environmental scientists and geoscientists,0010-3540,1000-1965,1600-1965,1600-1760,1740,1740
"Physical scientists, all other",0010-3540,1000-1965,1600-1965,1600-1760,1760,1760
Social scientists and related workers,0010-3540,1000-1965,1600-1965,1800-1860,,
Economists,0010-3540,1000-1965,1600-1965,1800-1860,1800,1800
Survey researchers,0010-3540,1000-1965,1600-1965,1800-1860,1815,1815
Psychologists,0010-3540,1000-1965,1600-1965,1800-1860,1820,1820
Sociologists,0010-3540,1000-1965,1600-1965,1800-1860,1830,1830
Urban and regional planners,0010-3540,1000-1965,1600-1965,1800-1860,1840,1840
Miscellaneous social scientists and related workers,0010-3540,1000-1965,1600-1965,1800-1860,1860,1860
"Life, physical, and social science technicians",0010-3540,1000-1965,1600-1965,1900-1965,,
Agricultural and food science technicians,0010-3540,1000-1965,1600-1965,1900-1965,1900,1900
Biological technicians,0010-3540,1000-1965,1600-1965,1900-1965,1910,1910
Chemical technicians,0010-3540,1000-1965,1600-1965,1900-1965,1920,1920
Geological and petroleum technicians,0010-3540,1000-1965,1600-1965,1900-1965,1930,1930
Nuclear technicians,0010-3540,1000-1965,1600-1965,1900-1965,1940,1940
Social science research assistants,0010-3540,1000-1965,1600-1965,1900-1965,1950,1950
"Miscellaneous life, physical, and social science technicians",0010-3540,1000-1965,1600-1965,1900-1965,1965,1965
"Education, Legal, Community Service, Arts, and Media Occupations:",0010-3540,2000-2960,,,,
Community and Social Service Occupations:,0010-3540,2000-2960,2000-2060,,,
"Counselors, social workers, and other community and social service specialists",0010-3540,2000-2960,2000-2060,2000-2025,,
Counselors,0010-3540,2000-2960,2000-2060,2000-2025,2000,2000
Social workers,0010-3540,2000-2960,2000-2060,2000-2025,2010,2010
Probation officers and correctional treatment specialists,0010-3540,2000-2960,2000-2060,2000-2025,2015,2015
Social and human service assistants,0010-3540,2000-2960,2000-2060,2000-2025,2016,2016
"Miscellaneous community and social service specialists, including health educators and community health workers",0010-3540,2000-2960,2000-2060,2000-2025,2025,2025
Religious workers,0010-3540,2000-2960,2000-2060,2040-2060,,
Clergy,0010-3540,2000-2960,2000-2060,2040-2060,2040,2040
"Directors, religious activities and education",0010-3540,2000-2960,2000-2060,2040-2060,2050,2050
"Religious workers, all other",0010-3540,2000-2960,2000-2060,2040-2060,2060,2060
Legal Occupations:,0010-3540,2000-2960,2100-2160,,,
Lawyers and judicial law clerks,0010-3540,2000-2960,2100-2160,2100-2105,,
Lawyers,0010-3540,2000-2960,2100-2160,2100-2105,2100,2100
Judicial law clerks,0010-3540,2000-2960,2100-2160,2100-2105,2105,2105
"Judges, magistrates, and other judicial workers",0010-3540,2000-2960,2100-2160,2110,2110,2110
Legal support workers,0010-3540,2000-2960,2100-2160,2145-2160,,
Paralegals and legal assistants,0010-3540,2000-2960,2100-2160,2145-2160,2145,2145
Miscellaneous legal support workers,0010-3540,2000-2960,2100-2160,2145-2160,2160,2160
"Education, Training, and Library Occupations:",0010-3540,2000-2960,2200-2550,,,
Postsecondary teachers,0010-3540,2000-2960,2200-2550,2200,2200,2200
"Primary, secondary, and special education school teachers",0010-3540,2000-2960,2200-2550,2300-2330,,
Preschool and kindergarten teachers,0010-3540,2000-2960,2200-2550,2300-2330,2300,2300
Elementary and middle school teachers,0010-3540,2000-2960,2200-2550,2300-2330,2310,2310
Secondary school teachers,0010-3540,2000-2960,2200-2550,2300-2330,2320,2320
Special education teachers,0010-3540,2000-2960,2200-2550,2300-2330,2330,2330
Other teachers and instructors,0010-3540,2000-2960,2200-2550,"2340,2540-2550",2340,2340
"Librarians, curators, and archivists",0010-3540,2000-2960,2200-2550,2400-2440,,
"Archivists, curators, and museum technicians",0010-3540,2000-2960,2200-2550,2400-2440,2400,2400
Librarians,0010-3540,2000-2960,2200-2550,2400-2440,2430,2430
Library technicians,0010-3540,2000-2960,2200-2550,2400-2440,2440,2440
"Other teachers and instructors, education, training, and library occupations",0010-3540,2000-2960,2200-2550,"2340,2540-2550",,
Teacher assistants,0010-3540,2000-2960,2200-2550,"2340,2540-2550",2540,2540
"Other education, training, and library workers",0010-3540,2000-2960,2200-2550,"2340,2540-2550",2550,2550
,0010-3540,2000-2960,,,,
"Arts, Design, Entertainment, Sports, and Media Occupations:",0010-3540,2000-2960,2600-2960,,,
Art and design workers,0010-3540,2000-2960,2600-2960,2600-2630,,
Artists and related workers,0010-3540,2000-2960,2600-2960,2600-2630,2600,2600
Designers,0010-3540,2000-2960,2600-2960,2600-2630,2630,2630
"Entertainers and performers, sports, and related workers",0010-3540,2000-2960,2600-2960,2700-2760,,
Actors,0010-3540,2000-2960,2600-2960,2700-2760,2700,2700
Producers and directors,0010-3540,2000-2960,2600-2960,2700-2760,2710,2710
"Athletes, coaches, umpires, and related workers",0010-3540,2000-2960,2600-2960,2700-2760,2720,2720
Dancers and choreographers,0010-3540,2000-2960,2600-2960,2700-2760,2740,2740
"Musicians, singers, and related workers",0010-3540,2000-2960,2600-2960,2700-2760,2750,2750
"Entertainers and performers, sports and related workers, all other",0010-3540,2000-2960,2600-2960,2700-2760,2760,2760
Media and communication equipment workers,0010-3540,2000-2960,2600-2960,2800-2960,,
Announcers,0010-3540,2000-2960,2600-2960,2800-2960,2800,2800
"News analysts, reporters and correspondents",0010-3540,2000-2960,2600-2960,2800-2960,2810,2810
Public relations specialists,0010-3540,2000-2960,2600-2960,2800-2960,2825,2825
Editors,0010-3540,2000-2960,2600-2960,2800-2960,2830,2830
Technical writers,0010-3540,2000-2960,2600-2960,2800-2960,2840,2840
Writers and authors,0010-3540,2000-2960,2600-2960,2800-2960,2850,2850
Miscellaneous media and communication workers,0010-3540,2000-2960,2600-2960,2800-2960,2860,2860
Broadcast and sound engineering technicians and radio operators,0010-3540,2000-2960,2600-2960,2800-2960,2900,2900
Photographers,0010-3540,2000-2960,2600-2960,2800-2960,2910,2910
"Television, video, and motion picture camera operators and editors",0010-3540,2000-2960,2600-2960,2800-2960,2920,2920
"Media and communication equipment workers, all other",0010-3540,2000-2960,2600-2960,2800-2960,2960,2960
Healthcare Practitioners and Technical Occupations:,0010-3540,3000-3540,,,,
Health diagnosing and treating practitioners and other technical occupations,0010-3540,3000-3540,"3000-3260,3540",,,
Chiropractors,0010-3540,3000-3540,"3000-3260,3540","3000-3050,3110-3140,3250,3260,3540",3000,3000
Dentists,0010-3540,3000-3540,"3000-3260,3540","3000-3050,3110-3140,3250,3260,3540",3010,3010
Dietitians and nutritionists,0010-3540,3000-3540,"3000-3260,3540","3000-3050,3110-3140,3250,3260,3540",3030,3030
Optometrists,0010-3540,3000-3540,"3000-3260,3540","3000-3050,3110-3140,3250,3260,3540",3040,3040
Pharmacists,0010-3540,3000-3540,"3000-3260,3540",3050,3050,3050
Physicians and surgeons,0010-3540,3000-3540,"3000-3260,3540",3060,3060,3060
Physician assistants,0010-3540,3000-3540,"3000-3260,3540","3000-3050,3110-3140,3250,3260,3540",3110,3110
Podiatrists,0010-3540,3000-3540,"3000-3260,3540","3000-3050,3110-3140,3250,3260,3540",3120,3120
Audiologists,0010-3540,3000-3540,"3000-3260,3540","3000-3050,3110-3140,3250,3260,3540",3140,3140
Therapists,0010-3540,3000-3540,"3000-3260,3540",3150-3245,,
Occupational therapists,0010-3540,3000-3540,"3000-3260,3540",3150-3245,3150,3150
Physical therapists,0010-3540,3000-3540,"3000-3260,3540",3150-3245,3160,3160
Radiation therapists,0010-3540,3000-3540,"3000-3260,3540",3150-3245,3200,3200
Recreational therapists,0010-3540,3000-3540,"3000-3260,3540",3150-3245,3210,3210
Respiratory therapists,0010-3540,3000-3540,"3000-3260,3540",3150-3245,3220,3220
Speech-language pathologists,0010-3540,3000-3540,"3000-3260,3540",3150-3245,3230,3230
Exercise physiologists,0010-3540,3000-3540,"3000-3260,3540",3150-3245,3235,3235
"Therapists, all other",0010-3540,3000-3540,"3000-3260,3540",3150-3245,3245,3245
